Day,Pb_Sum,Ppv_Sum,Pd_Sum,Ppvmax_Sum,Ps_Sum,Pc_Sum,SOC_Avg,Benefit,npv
104,0.0,936881.6842597447,7543.2,1095472.3482414552,867674.0048225845,76750.87943716021,39640.83569010946,52460794.712555364,445336989.2180872
105,0.0,948026.1125427873,60000.0,1075189.178629753,931275.2331056271,76750.87943716021,45918.96109156806,52460794.712555364,445336989.2180872
106,0.0,930751.2278975513,135086.40000000002,1059635.265178442,989086.7484603911,76750.87943716021,33506.999503603845,52460794.712555364,445336989.2180872
107,0.0,943014.1152871059,67543.2,1078810.5094200552,933806.4358499458,76750.87943716021,27075.922183136125,52460794.712555364,445336989.2180872
108,0.0,909710.0216948936,67543.20000000001,1025839.5834612839,900502.3422577335,76750.87943716021,20441.794821358017,52460794.712555364,445336989.2180872
109,0.0,901286.0341103377,67543.2,990905.858587026,892078.3546731775,76750.87943716021,27197.820363856023,52460794.712555364,445336989.2180872
110,0.0,892880.4795482642,67543.2,951964.5424682201,883672.800111104,76750.87943716021,31206.8241397926,52460794.712555364,445336989.2180872
111,0.0,919659.4639189006,67543.20000000001,1009240.6124754067,910451.7844817403,76750.87943716021,25332.025971816136,52460794.712555364,445336989.2180872
112,0.0,915975.7587248466,96255.34564457892,1018428.7257490676,902853.9586501042,109377.14571932127,27346.107000167845,52460794.712555364,445336989.2180872
113,0.0,924995.6764922844,76072.79601529165,1005557.0723839988,914625.2184802671,86443.25402730893,28655.61560085139,52460794.712555364,445336989.2180872
114,0.0,906444.998361778,67543.2,957758.4411518495,897237.3189246177,76750.87943716021,29020.422183136125,52460794.712555364,445336989.2180872
115,0.0,911655.3098487762,71899.89386393141,1004235.8556586741,901853.713621992,81701.4900907155,27440.82082294303,52460794.712555364,445336989.2180872
116,0.0,903917.9338245641,72522.96162215725,984814.736054043,894031.3992444688,82409.4962022526,25978.085601587238,52460794.712555364,445336989.2180872
