Hour,Pb,Ppv,Pd,Ppvmax,Ps,Pc,SOC,Benefit,npv
185,0.0,39577.736699999994,14417.815352640784,39577.736699999994,53995.55205264078,0.0,181643.55934883986,57231472.607204266,474124441.4598438
186,0.0,4900.1052,0.0,4900.1052,4900.1052,0.0,181643.55934883986,57231472.607204266,474124441.4598438
187,0.0,0.0,53557.5263,0.0,53557.5263,0.0,124552.06984878657,57231472.607204266,474124441.4598438
188,0.0,0.0,53557.5263,0.0,53557.5263,0.0,67460.58034873329,57231472.607204266,474124441.4598438
189,0.0,0.0,53557.5263,0.0,53557.5263,0.0,10369.090848679998,57231472.607204266,474124441.4598438
190,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
191,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
192,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
193,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
194,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
195,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
196,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
197,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
198,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
199,0.0,532.8948,0.0,532.8948,532.8948,0.0,10369.090848679998,57231472.607204266,474124441.4598438
200,0.0,43776.4737,0.0,43776.4737,43776.4737,0.0,10369.090848679998,57231472.607204266,474124441.4598438
201,0.0,92377.57890000001,0.0,92377.57890000001,92377.57890000001,0.0,10369.090848679998,57231472.607204266,474124441.4598438
202,0.0,110268.10519999998,0.0,129140.5263,100000.0,10268.105199999978,20001.60033679998,57231472.607204266,474124441.4598438
203,0.0,153557.5263,0.0,154653.4737,100000.0,53557.5263,70243.91575882997,57231472.607204266,474124441.4598438
204,0.0,153557.5263,0.0,159442.8948,100000.0,53557.5263,120486.23118085996,57231472.607204266,474124441.4598438
205,0.0,153557.5263,0.0,156303.0,100000.0,53557.5263,170728.54660289,57231472.607204266,474124441.4598438
206,0.0,128018.52630000001,0.0,128018.52630000001,100000.0,28018.526300000012,197012.72612492,57231472.607204266,474124441.4598438
207,0.0,100000.0,0.0,105337.2633,100000.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
208,0.0,72748.42109999999,0.0,72748.42109999999,72748.42109999999,0.0,197012.72612492,57231472.607204266,474124441.4598438
209,0.0,35979.0,0.0,35979.0,35979.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
210,0.0,4932.789599999999,0.0,4932.789599999999,4932.789599999999,0.0,197012.72612492,57231472.607204266,474124441.4598438
211,0.0,0.0,53557.5263,0.0,53557.5263,0.0,139921.23662486672,57231472.607204266,474124441.4598438
212,0.0,0.0,53557.5263,0.0,53557.5263,0.0,82829.74712481344,57231472.607204266,474124441.4598438
213,0.0,0.0,14417.815352640784,0.0,14417.815352640784,0.0,67460.58034873329,57231472.607204266,474124441.4598438
214,0.0,0.0,53557.5263,0.0,53557.5263,0.0,10369.090848679998,57231472.607204266,474124441.4598438
215,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
216,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
217,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
218,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
219,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
220,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
221,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
222,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
223,0.0,568.4211,0.0,568.4211,568.4211,0.0,10369.090848679998,57231472.607204266,474124441.4598438
224,0.0,43408.5789,0.0,43408.5789,43408.5789,0.0,10369.090848679998,57231472.607204266,474124441.4598438
225,0.0,89421.7896,0.0,89421.7896,89421.7896,0.0,10369.090848679998,57231472.607204266,474124441.4598438
226,0.0,127972.10519999999,0.0,127972.1052,100000.0,27972.105199999998,36609.7227368,57231472.607204266,474124441.4598438
